,French,English
0,partie,part
1,chercher,search
2,seulement,only
3,aide,help
4,demande,request
5,mois,month
6,laisser,let
7,car,because
8,mettre,to put
9,aucun,no
10,laisse,leash
11,eux,them
12,ville,city
13,chaque,each
14,arrivé,come
15,devrait,should
16,bébé,baby
17,vont,will
18,pendant,while
19,revoir,meet again
20,place,square
21,parle,speak
22,compris,understood
23,attention,Warning
24,voici,here is
25,pourrais,could
26,affaire,case
27,type,type
28,leurs,their
29,donné,given
30,train,train
31,écoute,listen
32,trouve,find
33,premier,first
34,perdu,lost
35,main,hand
36,première,first
37,côté,side
38,pouvoir,power
39,vieux,old
40,tiens,here
41,matin,morning
42,enfant,child
43,point,point
44,venu,came
45,suite,after
46,pardon,sorry
47,venez,come
48,minutes,minutes
49,demandé,request
50,chambre,bedroom
51,droit,law
52,aujourd'hui,today
53,cause,cause
54,enfin,finally
55,eau,water
56,nouvelle,new
57,boulot,job
58,dirait,would say
59,terre,Earth
60,loin,far
61,fin,end
62,chérie,sweetheart
63,gros,large
64,plutôt,rather
65,filles,girls
